id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual,nome_departamento,id_chefe_departamento,cidade,estado,id_socio_diretor
1,Isabela Carvalho ,Não-binário,Júnior,,,"3834,82",0.0,10,1,501.0,14,8,,False,Ativo,Civil,100,Salvador,BA,501
2,Samuel Teixeira ,Não-binário,Pleno,,,"7267,8",0.15,10,2,300.0,16,8,4.9,True,Desligado,Civil,100,São Paulo,SP,502
3,Diego Santos ,Masculino,Júnior,,,"4771,24",0.01,10,1,501.0,29,11,4.7,True,Ativo,Civil,100,Salvador,BA,501
4,Carla Oliveira ,Não-binário,Pleno,,,"7819,21",0.14,30,2,300.0,32,13,3.5,False,Desligado,Corporativo,300,São Paulo,SP,502
5,Carla Oliveira ,Não-binário,Júnior,,,"4452,47",0.05,20,3,300.0,46,42,2.2,False,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
6,Gabriela Almeida ,Femininoinino,Júnior,,,"4814,55",0.04,40,3,501.0,16,9,4.5,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
7,Mariana Rocha ,Não-binário,Júnior,,,"3828,98",0.1,30,4,400.0,17,15,4.3,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
8,Isabela Carvalho ,Não-binário,Pleno,,,"5534,44",0.2,40,4,400.0,15,11,4.0,True,Desligado,Tributário,400,Belo Horizonte,MG,504
9,Felipe Costa ,Não-binário,Pleno,2023-12-29,2023-12-29,"6395,33",0.12,10,3,400.0,28,2,4.3,True,Ativo,Civil,100,Rio de Janeiro,RJ,503
10,João Lima ,Masculino,Pleno,,,"8134,03",0.18,10,1,200.0,16,17,4.9,False,Desligado,Civil,100,Salvador,BA,501
11,Samuel Teixeira ,Femininoinino,Júnior,,,"3801,73",0.03,30,4,501.0,19,4,3.8,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
12,Carla Oliveira ,Femininoinino,Pleno,2025-11-07,2025-11-07,"5702,2",0.14,20,2,502.0,60,41,1.8,False,Ativo,Trabalhista,200,São Paulo,SP,502
13,Natan Alves ,Masculino,Júnior,,,"3641,49",0.06,40,2,100.0,35,12,4.6,True,Ativo,Tributário,400,São Paulo,SP,502
14,Samuel Teixeira ,Femininoinino,Sênior,2023-07-07,2023-07-07,"10624,13",0.23,20,2,200.0,62,35,2.4,False,Desligado,Trabalhista,200,São Paulo,SP,502
15,Pedro Gomes ,Masculino,Pleno,2022-10-04,2022-10-04,"5993,91",0.16,20,4,200.0,66,57,1.7,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
16,Tatiana Mendes ,Feminino,Júnior,,,"3591,44",0.08,30,2,100.0,14,7,3.3,True,Ativo,Corporativo,300,São Paulo,SP,502
